ID       Orient Start          End             LenPx MorphT   VisT
----------------------------------------------------------------------
H-01     H    (3884, 487)    (4314, 487)       430      7     28
H-02     H    (3459, 633)    (3891, 633)       432      6     24
H-03     H    (2304, 1362)   (2527, 1362)      223      5     20
H-04     H    (2649, 1362)   (2874, 1362)      225      5     20
H-05     H    (2996, 1362)   (3219, 1362)      223      5     20
H-06     H    (3341, 1362)   (3566, 1362)      225      5     20
H-07     H    (3688, 1363)   (4216, 1363)      528      6     24
H-08     H    (2618, 1556)   (2861, 1556)      243      6     24
H-09     H    (2029, 1582)   (2123, 1582)       94      6     21
H-10     H    (2751, 1895)   (3494, 1895)      743      5     20
H-11     H    (2154, 2042)   (2429, 2042)      275      5      4
H-12     H    (2029, 2053)   (2123, 2053)       94      6     13
H-13     H    (2601, 2084)   (2731, 2084)      130      5     20
H-14     H    (2154, 2251)   (2757, 2251)      603      5     20
H-15     H    (3686, 2257)   (4216, 2257)      530      5     20
H-16     H    (3898, 2592)   (4216, 2592)      318      5     20
H-17     H    (2976, 2603)   (3511, 2603)      535      6     24
H-18     H    (2154, 2634)   (2747, 2634)      593      8     31
H-19     H    (2992, 2646)   (3129, 2646)      137      5     20
H-20     H    (2347, 2932)   (2569, 2932)      222      7     22
H-21     H    (2659, 2932)   (2731, 2932)       72      7      7
H-22     H    (4086, 2933)   (4216, 2933)      130      6     21
H-23     H    (2992, 2936)   (3533, 2936)      541      6     22
H-24     H    (3862, 2941)   (3963, 2941)      101      6     21
H-25     H    (2742, 3129)   (2982, 3129)      240      6     24
H-26     H    (2986, 3129)   (3092, 3129)      106      5     20
H-27     H    (119, 3177)    (837, 3177)       718      5      5
H-28     H    (2273, 3517)   (3139, 3517)      866      5     20
H-29     H    (3236, 3517)   (3813, 3517)      577      5     20
H-30     H    (3910, 3517)   (4096, 3517)      186      5     20
H-31     H    (2130, 3542)   (4070, 3542)     1940      6     24
H-32     H    (2295, 3542)   (4070, 3542)     1775      6     24
H-33     H    (4160, 3542)   (4240, 3542)       80      6      6
H-34     H    (119, 4076)    (837, 4076)       718      5      5
V-01     V    (120, 3176)    (120, 4080)       904      5      5
V-02     V    (833, 3176)    (833, 4080)       904      5      5
V-03     V    (2031, 1580)   (2031, 2057)      477      5      5
V-04     V    (2131, 1336)   (2131, 1838)      502      5     20
V-05     V    (2131, 1852)   (2131, 3545)     1693      5     20
V-06     V    (2156, 1361)   (2156, 3402)     2041      6     24
V-07     V    (2425, 2035)   (2425, 2249)      214      5     20
V-08     V    (2450, 2091)   (2450, 2249)      158      6     24
V-09     V    (2733, 1566)   (2733, 2275)      709      5     20
V-10     V    (2735, 2466)   (2735, 2966)      500      6     24
V-11     V    (2735, 3280)   (2735, 3521)      241      5     20
V-12     V    (2979, 3135)   (2979, 3521)      386      5     20
V-13     V    (2985, 2583)   (2985, 2966)      383      5     20
V-14     V    (3079, 2939)   (3079, 3521)      582      5      3
V-15     V    (3460, 418)    (3460, 637)       219      5      5
V-16     V    (3496, 1542)   (3496, 2274)      732      5     20
V-17     V    (3499, 2583)   (3499, 2763)      180      6     22
V-18     V    (3697, 2939)   (3697, 3521)      582      6     22
V-19     V    (3732, 2268)   (3732, 2605)      337      5     20
V-20     V    (3735, 1361)   (3735, 1552)      191      5     20
V-21     V    (3760, 1361)   (3760, 1552)      191      5     20
V-22     V    (3887, 485)    (3887, 1331)      846      6      6
V-23     V    (3926, 2599)   (3926, 2929)      330      6     21
V-24     V    (4224, 1336)   (4224, 3545)     2209      6     24
V-25     V    (4300, 418)    (4300, 1367)      949      6     24
V-26     V    (4354, 1196)   (4354, 1268)       72      6      6
V-27     V    (4417, 393)    (4417, 466)        73      6      6
V-28     V    (4417, 2420)   (4417, 2493)       73      6      6
V-29     V    (4417, 3171)   (4417, 3243)       72      6      6
