ID       Orient Start          End             LenPx MorphT   VisT
----------------------------------------------------------------------
H-01     H    (3918, 1009)   (3991, 1009)       73      7      7
H-02     H    (2191, 1422)   (4184, 1422)     1993      5     20
H-03     H    (2215, 1514)   (2335, 1514)      120      6     24
H-04     H    (3229, 1612)   (3306, 1612)       77      6      6
H-05     H    (3396, 1612)   (3521, 1612)      125      6     22
H-06     H    (2802, 1820)   (3017, 1820)      215      5     20
H-07     H    (3390, 1831)   (3521, 1831)      131      5     20
H-08     H    (2802, 1852)   (3017, 1852)      215      6     24
H-09     H    (3174, 2000)   (3394, 2000)      220      5     20
H-10     H    (3484, 2000)   (3521, 2000)       37      5      5
H-11     H    (2967, 2008)   (3066, 2008)       99      5      5
H-12     H    (3722, 2090)   (4184, 2090)      462      5     20
H-13     H    (2191, 2257)   (2807, 2257)      616      5     20
H-14     H    (2578, 2447)   (2942, 2447)      364      5     20
H-15     H    (3515, 2635)   (4184, 2635)      669      5     20
H-16     H    (2191, 2646)   (2751, 2646)      560      5     20
H-17     H    (2191, 3450)   (2439, 3450)      248      5     20
H-18     H    (3207, 3450)   (4184, 3450)      977      5     20
H-19     H    (2164, 3475)   (2439, 3475)      275      7     28
H-20     H    (3208, 3475)   (4210, 3475)     1002      7     28
V-01     V    (2192, 1420)   (2192, 2067)      647      5     20
V-02     V    (2192, 2240)   (2192, 3454)     1214      5     20
V-03     V    (2785, 1421)   (2785, 1540)      119      5     20
V-04     V    (2785, 1630)   (2785, 1670)       40      5      5
V-05     V    (2797, 1793)   (2797, 2087)      294      5     20
V-06     V    (2937, 2446)   (2937, 2651)      205      5     20
V-07     V    (3005, 1818)   (3005, 1996)      178      6     22
V-08     V    (3230, 1821)   (3230, 1996)      175      5     20
V-09     V    (3239, 1421)   (3239, 1624)      203      5     20
V-10     V    (3519, 1421)   (3519, 2087)      666      6     21
V-11     V    (3529, 2216)   (3529, 2830)      614      5     20
V-12     V    (3736, 2076)   (3736, 2274)      198      5     20
V-13     V    (4180, 1421)   (4180, 3454)     2033      5     20
V-14     V    (4205, 1394)   (4205, 3481)     2087      8     31
V-15     V    (4356, 1196)   (4356, 1268)       72      7      7
V-16     V    (4564, 2420)   (4564, 2493)       73      6      6
V-17     V    (4564, 3171)   (4564, 3243)       72      6      6
